epoch,accuracy,binary_accuracy,binary_crossentropy,loss,val_accuracy,val_binary_accuracy,val_binary_crossentropy,val_loss
0,0.5,0.5,0.27846142649650574,0.27846142649650574,0.5022321343421936,0.5022321343421936,0.4995221793651581,0.4995221793651581
1,0.49768519401550293,0.49768519401550293,0.08798889815807343,0.08798889815807343,0.5044642686843872,0.5044642686843872,1.3830311298370361,1.3830311298370361
2,0.4992283880710602,0.4992283880710602,0.03301656246185303,0.03301656246185303,0.5022321343421936,0.5022321343421936,1.860612154006958,1.860612154006958
3,0.4992283880710602,0.4992283880710602,0.04512888938188553,0.04512888938188553,0.4977678656578064,0.4977678656578064,1.2432886362075806,1.2432886362075806
4,0.5015432238578796,0.5015432238578796,0.03664515167474747,0.03664515167474747,0.5022321343421936,0.5022321343421936,0.3803479075431824,0.3803479075431824
5,0.5007715821266174,0.5007715821266174,0.010175250470638275,0.010175250470638275,0.4977678656578064,0.4977678656578064,0.0058425674214959145,0.0058425674214959145
6,0.4996142089366913,0.4996142089366913,0.001859502517618239,0.001859502517618239,0.4977678656578064,0.4977678656578064,0.3556367754936218,0.3556367754936218
7,0.49807098507881165,0.49807098507881165,0.0204947330057621,0.0204947330057621,0.4977678656578064,0.4977678656578064,3.2808308601379395,3.2808308601379395
8,0.5015432238578796,0.5015432238578796,0.02162737399339676,0.02162737399339676,0.5044642686843872,0.5044642686843872,0.0798332542181015,0.0798332542181015
9,0.5007715821266174,0.5007715821266174,0.01431884616613388,0.01431884616613388,0.5044642686843872,0.5044642686843872,0.7452325820922852,0.7452325820922852
10,0.4992283880710602,0.4992283880710602,0.007898759096860886,0.007898759096860886,0.4977678656578064,0.4977678656578064,0.008516756817698479,0.008516756817698479
11,0.5,0.5,0.00391552085056901,0.00391552085056901,0.4977678656578064,0.4977678656578064,0.0015452472725883126,0.0015452472725883126
12,0.4992283880710602,0.4992283880710602,0.007785088382661343,0.007785088382661343,0.4977678656578064,0.4977678656578064,0.0004880070628132671,0.0004880070628132671
13,0.4992283880710602,0.4992283880710602,0.0023376941680908203,0.0023376941680908203,0.4933035671710968,0.4933035671710968,0.0013983455719426274,0.0013983455719426274
14,0.5007715821266174,0.5007715821266174,0.0024039126001298428,0.0024039126001298428,0.5022321343421936,0.5022321343421936,0.08459991216659546,0.08459991216659546
15,0.5,0.5,0.0343254953622818,0.0343254953622818,0.4977678656578064,0.4977678656578064,0.0015916730044409633,0.0015916730044409633
