,path,label
0,Data/preprocessed slices/slice_150_NC189_motion.npy,1
1,Data/preprocessed slices/slice_150_NC189_nomotion.npy,0
2,Data/preprocessed slices/slice_150_NC231_motion.npy,1
3,Data/preprocessed slices/slice_150_NC231_nomotion.npy,0
4,Data/preprocessed slices/slice_150_NC243_motion.npy,1
5,Data/preprocessed slices/slice_150_NC243_nomotion.npy,0
6,Data/preprocessed slices/slice_150_NC248_motion.npy,1
7,Data/preprocessed slices/slice_150_NC248_nomotion.npy,0
8,Data/preprocessed slices/slice_151_NC189_motion.npy,1
9,Data/preprocessed slices/slice_151_NC189_nomotion.npy,0
10,Data/preprocessed slices/slice_151_NC231_motion.npy,1
11,Data/preprocessed slices/slice_151_NC231_nomotion.npy,0
12,Data/preprocessed slices/slice_151_NC243_motion.npy,1
13,Data/preprocessed slices/slice_151_NC243_nomotion.npy,0
14,Data/preprocessed slices/slice_151_NC248_motion.npy,1
15,Data/preprocessed slices/slice_151_NC248_nomotion.npy,0
16,Data/preprocessed slices/slice_134_NC243_motion.npy,1
17,Data/preprocessed slices/slice_134_NC243_nomotion.npy,0
18,Data/preprocessed slices/slice_134_NC248_motion.npy,1
19,Data/preprocessed slices/slice_134_NC248_nomotion.npy,0
20,Data/preprocessed slices/slice_135_NC189_motion.npy,1
21,Data/preprocessed slices/slice_135_NC189_nomotion.npy,0
22,Data/preprocessed slices/slice_135_NC231_motion.npy,1
23,Data/preprocessed slices/slice_135_NC231_nomotion.npy,0
24,Data/preprocessed slices/slice_135_NC243_motion.npy,1
25,Data/preprocessed slices/slice_135_NC243_nomotion.npy,0
26,Data/preprocessed slices/slice_135_NC248_motion.npy,1
27,Data/preprocessed slices/slice_135_NC248_nomotion.npy,0
28,Data/preprocessed slices/slice_136_NC189_nomotion.npy,0
29,Data/preprocessed slices/slice_136_NC189_motion.npy,1
30,Data/preprocessed slices/slice_136_NC231_motion.npy,1
31,Data/preprocessed slices/slice_136_NC231_nomotion.npy,0
32,Data/preprocessed slices/slice_136_NC243_motion.npy,1
33,Data/preprocessed slices/slice_136_NC243_nomotion.npy,0
34,Data/preprocessed slices/slice_136_NC248_motion.npy,1
35,Data/preprocessed slices/slice_136_NC248_nomotion.npy,0
36,Data/preprocessed slices/slice_137_NC189_motion.npy,1
37,Data/preprocessed slices/slice_137_NC189_nomotion.npy,0
38,Data/preprocessed slices/slice_137_NC231_motion.npy,1
39,Data/preprocessed slices/slice_137_NC231_nomotion.npy,0
40,Data/preprocessed slices/slice_137_NC243_motion.npy,1
41,Data/preprocessed slices/slice_137_NC243_nomotion.npy,0
42,Data/preprocessed slices/slice_137_NC248_motion.npy,1
43,Data/preprocessed slices/slice_137_NC248_nomotion.npy,0
44,Data/preprocessed slices/slice_138_NC189_motion.npy,1
45,Data/preprocessed slices/slice_138_NC189_nomotion.npy,0
46,Data/preprocessed slices/slice_138_NC231_motion.npy,1
47,Data/preprocessed slices/slice_138_NC231_nomotion.npy,0
48,Data/preprocessed slices/slice_138_NC243_motion.npy,1
49,Data/preprocessed slices/slice_138_NC243_nomotion.npy,0
50,Data/preprocessed slices/slice_138_NC248_motion.npy,1
51,Data/preprocessed slices/slice_138_NC248_nomotion.npy,0
52,Data/preprocessed slices/slice_139_NC189_motion.npy,1
53,Data/preprocessed slices/slice_139_NC189_nomotion.npy,0
54,Data/preprocessed slices/slice_139_NC231_motion.npy,1
55,Data/preprocessed slices/slice_139_NC231_nomotion.npy,0
56,Data/preprocessed slices/slice_139_NC243_motion.npy,1
57,Data/preprocessed slices/slice_139_NC243_nomotion.npy,0
58,Data/preprocessed slices/slice_139_NC248_motion.npy,1
59,Data/preprocessed slices/slice_139_NC248_nomotion.npy,0
60,Data/preprocessed slices/slice_140_NC189_motion.npy,1
61,Data/preprocessed slices/slice_140_NC189_nomotion.npy,0
62,Data/preprocessed slices/slice_140_NC231_motion.npy,1
63,Data/preprocessed slices/slice_140_NC231_nomotion.npy,0
64,Data/preprocessed slices/slice_140_NC243_motion.npy,1
65,Data/preprocessed slices/slice_140_NC243_nomotion.npy,0
66,Data/preprocessed slices/slice_140_NC248_motion.npy,1
67,Data/preprocessed slices/slice_140_NC248_nomotion.npy,0
68,Data/preprocessed slices/slice_141_NC189_motion.npy,1
69,Data/preprocessed slices/slice_141_NC189_nomotion.npy,0
70,Data/preprocessed slices/slice_141_NC231_motion.npy,1
