,path,label
0,Data/preprocessed slices/slice_14_NC249_motion.npy,1
1,Data/preprocessed slices/slice_14_NC249_nomotion.npy,0
2,Data/preprocessed slices/slice_14_NC254_motion.npy,1
3,Data/preprocessed slices/slice_14_NC254_nomotion.npy,0
4,Data/preprocessed slices/slice_150_NC249_motion.npy,1
5,Data/preprocessed slices/slice_150_NC249_nomotion.npy,0
6,Data/preprocessed slices/slice_150_NC254_motion.npy,1
7,Data/preprocessed slices/slice_150_NC254_nomotion.npy,0
8,Data/preprocessed slices/slice_151_NC249_motion.npy,1
9,Data/preprocessed slices/slice_151_NC249_nomotion.npy,0
10,Data/preprocessed slices/slice_151_NC254_motion.npy,1
11,Data/preprocessed slices/slice_151_NC254_nomotion.npy,0
12,Data/preprocessed slices/slice_152_NC249_motion.npy,1
13,Data/preprocessed slices/slice_152_NC249_nomotion.npy,0
14,Data/preprocessed slices/slice_152_NC254_motion.npy,1
15,Data/preprocessed slices/slice_152_NC254_nomotion.npy,0
16,Data/preprocessed slices/slice_153_NC249_motion.npy,1
17,Data/preprocessed slices/slice_153_NC249_nomotion.npy,0
18,Data/preprocessed slices/slice_153_NC254_motion.npy,1
19,Data/preprocessed slices/slice_153_NC254_nomotion.npy,0
20,Data/preprocessed slices/slice_154_NC249_motion.npy,1
21,Data/preprocessed slices/slice_154_NC249_nomotion.npy,0
22,Data/preprocessed slices/slice_154_NC254_motion.npy,1
23,Data/preprocessed slices/slice_154_NC254_nomotion.npy,0
24,Data/preprocessed slices/slice_155_NC249_motion.npy,1
25,Data/preprocessed slices/slice_155_NC249_nomotion.npy,0
26,Data/preprocessed slices/slice_155_NC254_motion.npy,1
27,Data/preprocessed slices/slice_155_NC254_nomotion.npy,0
28,Data/preprocessed slices/slice_156_NC249_motion.npy,1
29,Data/preprocessed slices/slice_156_NC249_nomotion.npy,0
30,Data/preprocessed slices/slice_156_NC254_motion.npy,1
31,Data/preprocessed slices/slice_156_NC254_nomotion.npy,0
32,Data/preprocessed slices/slice_157_NC249_motion.npy,1
33,Data/preprocessed slices/slice_157_NC249_nomotion.npy,0
34,Data/preprocessed slices/slice_157_NC254_motion.npy,1
35,Data/preprocessed slices/slice_157_NC254_nomotion.npy,0
36,Data/preprocessed slices/slice_158_NC249_motion.npy,1
37,Data/preprocessed slices/slice_158_NC249_nomotion.npy,0
38,Data/preprocessed slices/slice_158_NC254_motion.npy,1
39,Data/preprocessed slices/slice_158_NC254_nomotion.npy,0
40,Data/preprocessed slices/slice_159_NC249_motion.npy,1
41,Data/preprocessed slices/slice_159_NC249_nomotion.npy,0
42,Data/preprocessed slices/slice_159_NC254_motion.npy,1
43,Data/preprocessed slices/slice_159_NC254_nomotion.npy,0
44,Data/preprocessed slices/slice_15_NC249_motion.npy,1
45,Data/preprocessed slices/slice_15_NC249_nomotion.npy,0
46,Data/preprocessed slices/slice_15_NC254_motion.npy,1
47,Data/preprocessed slices/slice_15_NC254_nomotion.npy,0
48,Data/preprocessed slices/slice_160_NC249_motion.npy,1
49,Data/preprocessed slices/slice_160_NC249_nomotion.npy,0
50,Data/preprocessed slices/slice_160_NC254_motion.npy,1
51,Data/preprocessed slices/slice_160_NC254_nomotion.npy,0
52,Data/preprocessed slices/slice_161_NC249_motion.npy,1
53,Data/preprocessed slices/slice_161_NC249_nomotion.npy,0
54,Data/preprocessed slices/slice_161_NC254_motion.npy,1
55,Data/preprocessed slices/slice_161_NC254_nomotion.npy,0
56,Data/preprocessed slices/slice_162_NC249_motion.npy,1
57,Data/preprocessed slices/slice_162_NC249_nomotion.npy,0
58,Data/preprocessed slices/slice_162_NC254_motion.npy,1
59,Data/preprocessed slices/slice_162_NC254_nomotion.npy,0
60,Data/preprocessed slices/slice_163_NC249_motion.npy,1
61,Data/preprocessed slices/slice_163_NC249_nomotion.npy,0
62,Data/preprocessed slices/slice_163_NC254_motion.npy,1
63,Data/preprocessed slices/slice_163_NC254_nomotion.npy,0
64,Data/preprocessed slices/slice_164_NC249_motion.npy,1
65,Data/preprocessed slices/slice_164_NC249_nomotion.npy,0
66,Data/preprocessed slices/slice_164_NC254_motion.npy,1
67,Data/preprocessed slices/slice_164_NC254_nomotion.npy,0
68,Data/preprocessed slices/slice_165_NC249_motion.npy,1
69,Data/preprocessed slices/slice_165_NC249_nomotion.npy,0
70,Data/preprocessed slices/slice_165_NC254_motion.npy,1
71,Data/preprocessed slices/slice_165_NC254_nomotion.npy,0
72,Data/preprocessed slices/slice_134_NC249_motion.npy,1
73,Data/preprocessed slices/slice_134_NC249_nomotion.npy,0
74,Data/preprocessed slices/slice_134_NC254_motion.npy,1
75,Data/preprocessed slices/slice_134_NC254_nomotion.npy,0
76,Data/preprocessed slices/slice_135_NC249_motion.npy,1
77,Data/preprocessed slices/slice_135_NC249_nomotion.npy,0
78,Data/preprocessed slices/slice_135_NC254_motion.npy,1
79,Data/preprocessed slices/slice_135_NC254_nomotion.npy,0
80,Data/preprocessed slices/slice_136_NC249_motion.npy,1
81,Data/preprocessed slices/slice_136_NC249_nomotion.npy,0
82,Data/preprocessed slices/slice_136_NC254_motion.npy,1
83,Data/preprocessed slices/slice_136_NC254_nomotion.npy,0
84,Data/preprocessed slices/slice_137_NC249_motion.npy,1
85,Data/preprocessed slices/slice_137_NC249_nomotion.npy,0
86,Data/preprocessed slices/slice_137_NC254_motion.npy,1
87,Data/preprocessed slices/slice_137_NC254_nomotion.npy,0
88,Data/preprocessed slices/slice_138_NC249_motion.npy,1
89,Data/preprocessed slices/slice_138_NC249_nomotion.npy,0
90,Data/preprocessed slices/slice_138_NC254_nomotion.npy,0
91,Data/preprocessed slices/slice_138_NC254_motion.npy,1
92,Data/preprocessed slices/slice_139_NC249_motion.npy,1
93,Data/preprocessed slices/slice_139_NC249_nomotion.npy,0
94,Data/preprocessed slices/slice_139_NC254_motion.npy,1
95,Data/preprocessed slices/slice_139_NC254_nomotion.npy,0
96,Data/preprocessed slices/slice_13_NC249_motion.npy,1
97,Data/preprocessed slices/slice_13_NC249_nomotion.npy,0
98,Data/preprocessed slices/slice_13_NC254_motion.npy,1
99,Data/preprocessed slices/slice_13_NC254_nomotion.npy,0
100,Data/preprocessed slices/slice_140_NC249_motion.npy,1
101,Data/preprocessed slices/slice_140_NC249_nomotion.npy,0
102,Data/preprocessed slices/slice_140_NC254_motion.npy,1
103,Data/preprocessed slices/slice_140_NC254_nomotion.npy,0
104,Data/preprocessed slices/slice_141_NC249_motion.npy,1
105,Data/preprocessed slices/slice_141_NC249_nomotion.npy,0
106,Data/preprocessed slices/slice_141_NC254_motion.npy,1
107,Data/preprocessed slices/slice_141_NC254_nomotion.npy,0
108,Data/preprocessed slices/slice_142_NC249_motion.npy,1
109,Data/preprocessed slices/slice_142_NC249_nomotion.npy,0
110,Data/preprocessed slices/slice_142_NC254_motion.npy,1
111,Data/preprocessed slices/slice_142_NC254_nomotion.npy,0
112,Data/preprocessed slices/slice_143_NC249_motion.npy,1
113,Data/preprocessed slices/slice_143_NC249_nomotion.npy,0
114,Data/preprocessed slices/slice_143_NC254_motion.npy,1
115,Data/preprocessed slices/slice_143_NC254_nomotion.npy,0
116,Data/preprocessed slices/slice_144_NC249_motion.npy,1
117,Data/preprocessed slices/slice_144_NC249_nomotion.npy,0
118,Data/preprocessed slices/slice_144_NC254_motion.npy,1
119,Data/preprocessed slices/slice_144_NC254_nomotion.npy,0
120,Data/preprocessed slices/slice_145_NC249_motion.npy,1
121,Data/preprocessed slices/slice_145_NC249_nomotion.npy,0
122,Data/preprocessed slices/slice_145_NC254_motion.npy,1
123,Data/preprocessed slices/slice_145_NC254_nomotion.npy,0
124,Data/preprocessed slices/slice_146_NC249_motion.npy,1
125,Data/preprocessed slices/slice_146_NC249_nomotion.npy,0
126,Data/preprocessed slices/slice_146_NC254_motion.npy,1
127,Data/preprocessed slices/slice_146_NC254_nomotion.npy,0
128,Data/preprocessed slices/slice_147_NC249_motion.npy,1
129,Data/preprocessed slices/slice_147_NC249_nomotion.npy,0
130,Data/preprocessed slices/slice_147_NC254_motion.npy,1
131,Data/preprocessed slices/slice_147_NC254_nomotion.npy,0
132,Data/preprocessed slices/slice_148_NC249_motion.npy,1
133,Data/preprocessed slices/slice_148_NC249_nomotion.npy,0
134,Data/preprocessed slices/slice_148_NC254_motion.npy,1
135,Data/preprocessed slices/slice_148_NC254_nomotion.npy,0
136,Data/preprocessed slices/slice_149_NC249_motion.npy,1
137,Data/preprocessed slices/slice_149_NC249_nomotion.npy,0
138,Data/preprocessed slices/slice_149_NC254_motion.npy,1
139,Data/preprocessed slices/slice_149_NC254_nomotion.npy,0
140,Data/preprocessed slices/slice_119_NC249_motion.npy,1
141,Data/preprocessed slices/slice_119_NC249_nomotion.npy,0
142,Data/preprocessed slices/slice_119_NC254_motion.npy,1
143,Data/preprocessed slices/slice_119_NC254_nomotion.npy,0
144,Data/preprocessed slices/slice_11_NC249_motion.npy,1
145,Data/preprocessed slices/slice_11_NC249_nomotion.npy,0
146,Data/preprocessed slices/slice_11_NC254_motion.npy,1
147,Data/preprocessed slices/slice_11_NC254_nomotion.npy,0
148,Data/preprocessed slices/slice_120_NC249_motion.npy,1
149,Data/preprocessed slices/slice_120_NC249_nomotion.npy,0
150,Data/preprocessed slices/slice_120_NC254_motion.npy,1
151,Data/preprocessed slices/slice_120_NC254_nomotion.npy,0
152,Data/preprocessed slices/slice_121_NC249_motion.npy,1
